buildingtype,primarypropertytype,taxparcelidentificationnumber,councildistrictcode,neighborhood,numberofbuildings,numberoffloors,propertygfatotal,propertygfaparking,propertygfabuilding_s,listofallpropertyusetypes,largestpropertyusetype,largestpropertyusetypegfa,energystarscore,steamuse,electricity,naturalgas,defaultdata,compliancestatus,totalghgemissions,zipcode,latitude,longitude,age
NonResidential,Hotel,0659000030,7,DOWNTOWN,1,12,88434,0,88434,Hotel,Hotel,88434.0,60.0,True,True,True,False,Compliant,249.98,98101.0,47.6122,-122.33799,96
NonResidential,Hotel,0659000220,7,DOWNTOWN,1,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,61.0,False,True,True,False,Compliant,295.86,98101.0,47.61317,-122.33393,27
NonResidential,Hotel,0659000475,7,DOWNTOWN,1,41,956110,196718,759392,Hotel,Hotel,756493.0,43.0,True,True,True,False,Compliant,2089.28,98101.0,47.61393,-122.3381,54
NonResidential,Hotel,0659000640,7,DOWNTOWN,1,10,61320,0,61320,Hotel,Hotel,61320.0,56.0,True,True,True,False,Compliant,286.43,98101.0,47.61412,-122.33664,97
NonResidential,Hotel,0659000970,7,DOWNTOWN,1,18,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,75.0,False,True,True,False,Compliant,505.01,98121.0,47.61375,-122.34047,43
Nonresidential COS,Other,0660000560,7,DOWNTOWN,1,2,97288,37198,60090,Police Station,Police Station,88830.0,,False,True,True,False,Compliant,301.81,98101.0,47.61623,-122.33657,24
NonResidential,Hotel,0660000825,7,DOWNTOWN,1,11,83008,0,83008,Hotel,Hotel,81352.0,27.0,False,True,True,False,Compliant,176.14,98101.0,47.6139,-122.33283,97
NonResidential,Other,0660000955,7,DOWNTOWN,1,8,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,True,True,True,False,Compliant,221.51,98101.0,47.61327,-122.33136,97
NonResidential,Hotel,0939000080,7,DOWNTOWN,1,15,163984,0,163984,Hotel,Hotel,163984.0,43.0,False,True,True,False,Compliant,392.16,98104.0,47.60294,-122.33263,119
Multifamily MR (5-9),Mid-Rise Multifamily,0939000105,7,DOWNTOWN,1,6,63712,1496,62216,Multifamily Housing,Multifamily Housing,56132.0,1.0,True,True,True,False,Compliant,151.12,98104.0,47.60284,-122.33184,113
NonResidential,Hotel,0942000145,7,DOWNTOWN,1,11,153163,19279,133884,Hotel,Hotel,133884.0,30.0,True,True,True,False,Compliant,691.26,98101.0,47.60695,-122.33414,54
NonResidential,Hotel,0942000165,7,DOWNTOWN,1,25,333176,61161,272015,Hotel,Hotel,336640.0,36.0,True,True,True,False,Compliant,740.97,98101.0,47.60713,-122.33323,25
NonResidential,Hotel,0942000210,7,DOWNTOWN,1,9,65009,0,65009,Hotel,Hotel,65009.0,48.0,True,True,True,False,Compliant,328.23,98104.0,47.60699,-122.33346,95
NonResidential,Hotel,0942000235,7,DOWNTOWN,1,33,315952,57600,258352,"Hotel, Parking",Hotel,295511.0,58.0,True,True,True,False,Compliant,648.62,98101.0,47.60809,-122.33212,43
NonResidential,Hotel,0942000265,7,DOWNTOWN,1,11,92190,25200,66990,"Hotel, Parking",Hotel,67390.0,35.0,True,True,True,False,Compliant,511.39,98101.0,47.60755,-122.33244,101
Nonresidential COS,Other,0942000275,7,DOWNTOWN,1,11,412000,57000,355000,"Data Center, Library, Parking",Library,364913.0,,True,True,False,False,Compliant,181.38,98154.0,47.60649,-122.33297,19
NonResidential,Other,0942000350,7,DOWNTOWN,1,6,103911,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,,True,True,True,False,Compliant,433.86,98104.0,47.60546,-122.33279,93
NonResidential,Hotel,0942000430,7,DOWNTOWN,1,28,416281,85000,331281,"Hotel, Parking",Hotel,348329.0,31.0,False,True,True,False,Compliant,802.89,98104.0,47.60681,-122.33078,40
NonResidential,Mixed Use Property,0942000510,7,DOWNTOWN,1,5,57452,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,,True,True,True,False,Compliant,273.02,98104.0,47.60515,-122.33159,116
NonResidential,Hotel,0942000610,7,DOWNTOWN,1,10,104352,0,104352,Hotel,Hotel,104352.0,39.0,True,True,True,False,Compliant,349.32,98104.0,47.60376,-122.33194,107
NonResidential,Other,0942000860,7,DOWNTOWN,1,10,540360,0,540360,Courthouse,Courthouse,537150.0,76.0,False,True,True,False,Compliant,1265.29,98104.0,47.60265,-122.33051,107
NonResidential,Other,0942001010,3,DOWNTOWN,1,19,385274,0,385274,Other,Other,385274.0,,False,True,True,False,Compliant,1699.45,98104.0,47.60378,-122.32842,38
SPS-District K-12,K-12 School,1102000138,2,SOUTHEAST,1,2,56228,0,56228,K-12 School,K-12 School,58916.0,95.0,False,True,True,True,,38.53,98118.0,47.54576,-122.26853,62
NonResidential,Hotel,1142000755,4,NORTHEAST,1,6,88592,30586,58006,"Hotel, Parking",Hotel,58006.0,84.0,False,True,True,False,Compliant,90.01,98105.0,47.65959,-122.31755,22
NonResidential,University,0660001420,7,DOWNTOWN,1,7,126593,0,126593,College/University,College/University,125000.0,,False,True,True,False,Compliant,388.04,98121.0,47.61816,-122.33629,95
NonResidential,Other,0660001725,7,DOWNTOWN,1,2,67224,0,67224,Automobile Dealership,Automobile Dealership,67224.0,,False,True,False,False,Compliant,9.13,98101.0,47.615,-122.33081,93
NonResidential,Hotel,0660001832,7,EAST,1,8,158676,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,,False,True,True,False,Compliant,256.57,98101.0,47.61301,-122.32929,32
NonResidential,Hotel,0660002680,7,DOWNTOWN,1,10,171866,38281,133585,Hotel,Hotel,128909.0,57.0,False,True,True,False,Compliant,328.63,98101.0,47.61784,-122.32966,22
NonResidential,Hotel,0697000170,7,DOWNTOWN,1,5,68410,16200,52210,Hotel,Hotel,47994.0,57.0,False,True,True,False,Compliant,128.44,98121.0,47.61558,-122.34186,45
SPS-District K-12,K-12 School,0752000170,5,NORTH,1,2,160645,0,160645,K-12 School,K-12 School,164229.0,75.0,False,True,True,True,,270.18,98125.0,47.70994,-122.29301,74
SPS-District K-12,K-12 School,0809000005,7,MAGNOLIA / QUEEN ANNE,1,2,51582,0,51582,K-12 School,K-12 School,55166.0,,False,True,False,False,,10.43,98109.0,47.6329,-122.35172,34
NonResidential,Small- and Mid-Sized Office,0825049008,4,LAKE UNION,1,3,87262,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,,False,True,True,False,Compliant,157.77,98070.0,47.6641,-122.33118,117
NonResidential,Hotel,0925049117,4,NORTHEAST,1,4,81871,0,81871,Hotel,Hotel,81871.0,29.0,False,True,True,False,Compliant,215.0,98105.0,47.66583,-122.29965,29
