primarypropertytype,taxparcelidentificationnumber,neighborhood,numberofbuildings,numberoffloors,propertygfatotal,propertygfaparking,listofallpropertyusetypes,largestpropertyusetype,energystarscore,steamuse,naturalgas,totalghgemissions,zipcode,longitude,age
Hotel,0659000030,DOWNTOWN,1,12,88434,0,Hotel,Hotel,60.0,True,True,249.98,98101.0,-122.33799,96
Hotel,0659000220,DOWNTOWN,1,11,103566,15064,"Hotel, Parking, Restaurant",Hotel,61.0,False,True,295.86,98101.0,-122.33393,27
Hotel,0659000475,DOWNTOWN,1,41,956110,196718,Hotel,Hotel,43.0,True,True,2089.28,98101.0,-122.3381,54
Hotel,0659000640,DOWNTOWN,1,10,61320,0,Hotel,Hotel,56.0,True,True,286.43,98101.0,-122.33664,97
Hotel,0659000970,DOWNTOWN,1,18,175580,62000,"Hotel, Parking, Swimming Pool",Hotel,75.0,False,True,505.01,98121.0,-122.34047,43
Other,0660000560,DOWNTOWN,1,2,97288,37198,Police Station,Police Station,,False,True,301.81,98101.0,-122.33657,24
Hotel,0660000825,DOWNTOWN,1,11,83008,0,Hotel,Hotel,27.0,False,True,176.14,98101.0,-122.33283,97
Other,0660000955,DOWNTOWN,1,8,102761,0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,,True,True,221.51,98101.0,-122.33136,97
Hotel,0939000080,DOWNTOWN,1,15,163984,0,Hotel,Hotel,43.0,False,True,392.16,98104.0,-122.33263,119
Mid-Rise Multifamily,0939000105,DOWNTOWN,1,6,63712,1496,Multifamily Housing,Multifamily Housing,1.0,True,True,151.12,98104.0,-122.33184,113
Hotel,0942000145,DOWNTOWN,1,11,153163,19279,Hotel,Hotel,30.0,True,True,691.26,98101.0,-122.33414,54
Hotel,0942000165,DOWNTOWN,1,25,333176,61161,Hotel,Hotel,36.0,True,True,740.97,98101.0,-122.33323,25
Hotel,0942000210,DOWNTOWN,1,9,65009,0,Hotel,Hotel,48.0,True,True,328.23,98104.0,-122.33346,95
Hotel,0942000235,DOWNTOWN,1,33,315952,57600,"Hotel, Parking",Hotel,58.0,True,True,648.62,98101.0,-122.33212,43
Hotel,0942000265,DOWNTOWN,1,11,92190,25200,"Hotel, Parking",Hotel,35.0,True,True,511.39,98101.0,-122.33244,101
Other,0942000275,DOWNTOWN,1,11,412000,57000,"Data Center, Library, Parking",Library,,True,False,181.38,98154.0,-122.33297,19
Other,0942000350,DOWNTOWN,1,6,103911,0,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,,True,True,433.86,98104.0,-122.33279,93
Hotel,0942000430,DOWNTOWN,1,28,416281,85000,"Hotel, Parking",Hotel,31.0,False,True,802.89,98104.0,-122.33078,40
Mixed Use Property,0942000510,DOWNTOWN,1,5,57452,0,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,,True,True,273.02,98104.0,-122.33159,116
Hotel,0942000610,DOWNTOWN,1,10,104352,0,Hotel,Hotel,39.0,True,True,349.32,98104.0,-122.33194,107
Other,0942000860,DOWNTOWN,1,10,540360,0,Courthouse,Courthouse,76.0,False,True,1265.29,98104.0,-122.33051,107
Other,0942001010,DOWNTOWN,1,19,385274,0,Other,Other,,False,True,1699.45,98104.0,-122.32842,38
K-12 School,1102000138,SOUTHEAST,1,2,56228,0,K-12 School,K-12 School,95.0,False,True,38.53,98118.0,-122.26853,62
Hotel,1142000755,NORTHEAST,1,6,88592,30586,"Hotel, Parking",Hotel,84.0,False,True,90.01,98105.0,-122.31755,22
University,0660001420,DOWNTOWN,1,7,126593,0,College/University,College/University,,False,True,388.04,98121.0,-122.33629,95
Other,0660001725,DOWNTOWN,1,2,67224,0,Automobile Dealership,Automobile Dealership,,False,False,9.13,98101.0,-122.33081,93
Hotel,0660001832,EAST,1,8,158676,30301,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,,False,True,256.57,98101.0,-122.32929,32
Hotel,0660002680,DOWNTOWN,1,10,171866,38281,Hotel,Hotel,57.0,False,True,328.63,98101.0,-122.32966,22
Hotel,0697000170,DOWNTOWN,1,5,68410,16200,Hotel,Hotel,57.0,False,True,128.44,98121.0,-122.34186,45
K-12 School,0752000170,NORTH,1,2,160645,0,K-12 School,K-12 School,75.0,False,True,270.18,98125.0,-122.29301,74
K-12 School,0809000005,MAGNOLIA / QUEEN ANNE,1,2,51582,0,K-12 School,K-12 School,,False,False,10.43,98109.0,-122.35172,34
Small- and Mid-Sized Office,0825049008,LAKE UNION,1,3,87262,0,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,,False,True,157.77,98070.0,-122.33118,117
Hotel,0925049117,NORTHEAST,1,4,81871,0,Hotel,Hotel,29.0,False,True,215.0,98105.0,-122.29965,29
Self-Storage Facility,0925049330,NORTHEAST,1,2,110356,0,Self-Storage Facility,Self-Storage Facility,,False,True,3.93,98105.0,-122.29598,68
Mixed Use Property,0022000005,GREATER DUWAMISH,1,3,494835,0,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,8.0,False,True,16870.98,98108.0,-122.31788,31
Warehouse,0323049024,GREATER DUWAMISH,3,2,714095,0,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,,False,False,311.84,98118.0,-122.28875,62
K-12 School,0369000400,MAGNOLIA / QUEEN ANNE,1,2,54986,0,K-12 School,K-12 School,97.0,False,True,31.47,98199.0,-122.39047,33
K-12 School,0425049022,NORTHEAST,1,2,175565,0,K-12 School,K-12 School,88.0,False,True,266.05,98115.0,-122.29498,73
Small- and Mid-Sized Office,0467000429,BALLARD,1,2,94900,0,"Non-Refrigerated Warehouse, Office",Office,57.0,False,True,130.56,98107.0,-122.38476,62
Small- and Mid-Sized Office,0570000340,GREATER DUWAMISH,1,2,52554,0,"Office, Other - Education",Office,83.0,False,True,83.86,98144.0,-122.31132,123
K-12 School,0625049002,NORTHWEST,1,3,175015,0,K-12 School,K-12 School,95.0,False,True,247.85,98103.0,-122.33553,69
Self-Storage Facility,0653000225,DOWNTOWN,1,3,70586,0,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,,False,True,45.43,98121.0,-122.35129,112
Hotel,1975700040,DOWNTOWN,1,24,332210,205970,Hotel,Hotel,67.0,False,True,295.33,98101.0,-122.33337,54
Large Office,1975700200,DOWNTOWN,1,5,168115,0,"Data Center, Office, Retail Store",Office,78.0,False,False,66.48,98101.0,-122.33659,50
Other,1975700365,DOWNTOWN,1,2,57428,0,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,,False,True,33.26,98101.0,-122.33765,103
Small- and Mid-Sized Office,1975700380,DOWNTOWN,1,8,59400,0,"Office, Retail Store",Office,14.0,False,False,35.36,98101.0,-122.33794,113
Mixed Use Property,1975700525,DOWNTOWN,1,2,52549,0,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,,False,True,584.31,98101.0,-122.33744,97
Hotel,1976700010,DOWNTOWN,1,20,98634,10043,"Hotel, Parking, Restaurant",Hotel,71.0,False,True,59.19,98101.0,-122.33432,93
Hotel,1976700095,DOWNTOWN,1,34,994212,146694,"Hotel, Parking, Swimming Pool",Hotel,63.0,True,True,2451.58,98101.0,-122.33339,41
Hotel,1977200050,DOWNTOWN,1,7,71150,0,"Hotel, Parking, Restaurant, Retail Store",Hotel,98.0,False,True,134.38,98101.0,-122.34138,38
Hotel,1977201035,DOWNTOWN,1,7,122810,0,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,99.0,False,True,227.18,98101.0,-122.34114,115
Hotel,1991200730,LAKE UNION,1,5,113173,42546,"Hotel, Parking",Hotel,86.0,False,True,144.79,98109.0,-122.34413,64
Hotel,1991200935,LAKE UNION,1,7,150453,34735,Hotel,Hotel,84.0,False,True,199.95,98109.0,-122.34274,23
Hotel,1991200940,LAKE UNION,1,6,116300,28200,Hotel,Hotel,80.0,False,True,162.39,98109.0,-122.34314,26
Hotel,1992200235,MAGNOLIA / QUEEN ANNE,1,6,155602,36744,Hotel,Hotel,81.0,False,True,152.76,98119.0,-122.35951,25
K-12 School,2125049015,EAST,1,3,56072,0,K-12 School,K-12 School,76.0,False,True,146.34,98136.0,-122.30793,112
Hotel,2249000170,MAGNOLIA / QUEEN ANNE,1,4,122942,44891,"Hotel, Parking",Hotel,94.0,False,True,171.64,98109.0,-122.34456,24
Small- and Mid-Sized Office,2254501944,CENTRAL,1,2,54984,0,Office,Office,71.0,False,True,87.98,98122.0,-122.30956,61
Senior Care Community,2324039001,SOUTHWEST,1,5,217603,0,"Parking, Senior Care Community",Senior Care Community,54.0,False,True,1727.11,98126.0,-122.37751,101
Senior Care Community,2426039059,NORTHWEST,1,2,93397,0,Senior Care Community,Senior Care Community,1.0,False,True,609.1,98133.0,-122.35599,53
Hotel,2467400430,LAKE UNION,1,6,84103,20732,"Hotel, Parking",Hotel,74.0,False,True,67.06,98109.0,-122.33211,15
K-12 School,2518400005,SOUTHWEST,1,2,53352,0,K-12 School,K-12 School,,False,False,4.19,98146.0,-122.37759,75
Medical Office,1978201270,EAST,1,3,179014,0,Medical Office,Medical Office,48.0,False,True,430.84,98122.0,-122.3214,58
Hotel,1979200270,EAST,1,7,76631,0,Hotel,Hotel,71.0,False,True,262.75,98104.0,-122.32693,115
Mixed Use Property,1979200290,EAST,1,6,99780,9341,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,,True,False,481.97,98104.0,-122.32637,40
Retail Store,1983200230,LAKE UNION,1,2,58320,0,Retail Store,Retail Store,96.0,False,True,39.06,98109.0,-122.33805,94
Large Office,1983200325,LAKE UNION,1,5,316306,0,"Office, Other, Parking, Retail Store",Office,96.0,False,True,138.85,98109.0,-122.33646,13
Hotel,1984200065,LAKE UNION,1,7,282863,44766,"Hotel, Parking",Hotel,37.0,False,True,526.85,98109.0,-122.33325,33
Other,1985200003,MAGNOLIA / QUEEN ANNE,1,1,389000,0,Other,Other,,True,True,607.41,98109.0,-122.35398,61
Other,1985200003,MAGNOLIA / QUEEN ANNE,1,1,91213,0,Other,Other,,True,False,344.2,98109.0,-122.35398,61
Other,1985200305,MAGNOLIA / QUEEN ANNE,1,5,396085,0,Other,Other,,True,False,804.2,98109.0,-122.35398,85
Large Office,1986200410,LAKE UNION,1,12,571329,0,"Office, Other, Parking",Office,91.0,False,True,617.52,98109.0,-122.33629,13
Other,1988200440,MAGNOLIA / QUEEN ANNE,1,2,52000,0,Other,Other,,True,False,101.83,98109.0,-122.35077,61
Other,1988200700,MAGNOLIA / QUEEN ANNE,1,1,60696,0,Other,Other,,False,False,6.11,98109.0,-122.35077,95
